14.52.817181,0.0,0,100,0.0,0.0
14.52.832127,0.014946,0,100,0.0,0.0
14.52.846160,0.028979,0,100,0.0,0.0
14.52.868139,0.050958,0,100,0.0,0.0
14.52.886125,0.068944,0,100,0.0,0.0
14.52.906137,0.088956,0,100,0.0,0.0
14.52.923129,0.105948,0,100,0.0,0.0
14.52.942158,0.124977,0,100,0.0,0.0
14.52.963135,0.145954,0,100,0.0,0.0
14.53.2205,0.18502399999999997,0,100,0.0,0.0
14.53.27163,0.209982,0,100,0.0,0.0
14.53.60121,0.24294000000000004,0,100,0.0,0.0
14.53.87109,0.26992799999999995,0,100,0.0,0.0
14.53.108107,0.290926,0,100,0.0,0.0
14.53.132100,0.31491899999999995,0,100,0.0,0.0
14.53.156087,0.33890600000000004,0,100,0.0,0.0
14.53.182088,0.364907,0,100,0.0,0.0
14.53.230109,0.41292799999999996,0,100,0.0,0.0
14.53.254117,0.436936,0,100,0.0,0.0
14.53.275150,0.45796899999999996,0,100,0.0,0.0
14.53.299158,0.481977,0,100,0.0,0.0
14.53.322083,0.504902,0,100,0.0,0.0
14.53.344093,0.526912,0,100,0.0,0.0
14.53.365087,0.547906,0,100,0.0,0.0
14.53.380064,0.562883,0,100,0.0,0.0
14.53.400082,0.582901,0,100,0.0,0.0
14.53.425071,0.60789,0,100,0.0,0.0
14.53.466162,0.648981,0,0,0.0,0.0
14.53.495101,0.6779200000000001,0,0,0.0,0.0
14.53.509084,0.6919029999999999,0,0,0.0,0.0
14.53.524073,0.7068920000000001,0,0,0.0,0.0
14.53.544087,0.726906,0,0,0.0,0.0
14.53.560051,0.7428699999999999,0,0,0.0,0.0
14.53.581043,0.763862,0,0,0.0,0.0
14.53.599062,0.781881,0,0,0.0,0.0
14.53.615055,0.797874,0,0,0.0,0.0
14.53.628035,0.810854,0,0,0.0,0.0
14.53.642067,0.824886,0,0,0.0,0.0
14.53.663048,0.845867,0,0,0.0,0.0
14.53.678075,0.860894,0,0,0.0,0.0
14.53.703123,0.885942,0,0,0.0,0.0
14.53.718027,0.900846,0,0,0.0,0.0
14.53.737057,0.919876,0,0,0.0,0.0
14.53.756089,0.938908,0,0,0.0,0.0
14.53.782048,0.964867,0,0,0.0,0.0
14.53.797045,0.979864,0,0,0.0,0.0
14.53.814033,0.996852,0,0,0.0,0.0
14.53.830033,1.012852,0,0,0.0,0.0
14.53.846034,1.028853,0,0,0.0,0.0
14.53.860034,1.042853,0,0,0.0,0.0
14.53.878052,1.060871,0,0,0.0,0.0
14.53.906006,1.088825,0,0,0.0,0.0
14.53.921086,1.103905,0,0,0.0,0.0
14.53.937025,1.119844,0,0,0.0,0.0
14.53.957134,1.139953,0,0,0.0,0.0
14.53.978116,1.160935,0,0,0.0,0.0
14.54.2018,1.184837,0,0,0.0,0.0
14.54.25036,1.207855,0,0,0.0,0.0
14.54.57025,1.239844,0,0,0.0,0.0
14.54.73039,1.255858,0,0,0.0,0.0
14.54.93152,1.275971,0,0,0.0,0.0
14.54.130001,1.3128199999999999,0,0,0.0,0.0
14.54.147007,1.329826,0,0,0.0,0.0
14.54.161008,1.343827,0,0,0.0,0.0
14.54.184006,1.366825,0,0,0.0,0.0
14.54.196014,1.378833,0,0,0.0,0.0
14.54.208004,1.3908230000000001,0,0,0.0,0.0
14.54.223995,1.406814,0,0,0.0,0.0
14.54.237976,1.420795,0,0,0.0,0.0
14.54.249976,1.432795,0,0,0.0,0.0
14.54.262974,1.445793,0,0,0.0,0.0
14.54.275041,1.4578600000000002,0,0,0.0,0.0
14.54.294996,1.477815,0,0,0.0,0.0
14.54.319998,1.502817,0,0,0.0,0.0
14.54.339033,1.521852,0,0,0.0,0.0
14.54.351980,1.534799,0,0,0.0,0.0
14.54.365980,1.548799,0,0,0.0,0.0
14.54.381988,1.564807,0,0,0.0,0.0
14.54.397979,1.580798,0,0,0.0,0.0
14.54.412983,1.595802,0,0,0.0,0.0
14.54.424989,1.607808,0,0,0.0,0.0
14.54.435976,1.618795,0,0,0.0,0.0
